,Product Name,PRICE,Reviews
0,"APPLE iPhone SE (White, 64 GB)","₹32,999","9,387"
1,"APPLE iPhone 12 (Blue, 128 GB)","₹82,900",464
2,"APPLE iPhone SE (Black, 128 GB)","₹36,999","9,387"
3,"APPLE iPhone 12 (Black, 128 GB)","₹82,900",464
4,"APPLE iPhone 12 (White, 128 GB)","₹82,900",464
5,"APPLE iPhone 12 (Green, 128 GB)","₹82,900",464
6,"APPLE iPhone 12 Mini (Black, 64 GB)","₹67,900",223
7,"APPLE iPhone XR (White, 64 GB)","₹42,999","7,994"
8,"APPLE iPhone SE (Red, 128 GB)","₹36,999","9,387"
9,"APPLE iPhone XR (Black, 128 GB)","₹47,999","7,994"
10,"APPLE iPhone SE (White, 128 GB)","₹36,999","9,387"
11,"APPLE iPhone 12 Mini (Black, 128 GB)","₹72,900",223
12,"APPLE iPhone 12 (Blue, 64 GB)","₹77,900",464
13,"APPLE iPhone XR (Black, 64 GB)","₹42,999","7,994"
14,"APPLE iPhone 12 (Purple, 64 GB)","₹79,900",464
15,"APPLE iPhone 11 (Black, 64 GB)","₹51,999","5,404"
16,"APPLE iPhone 12 Mini (White, 128 GB)","₹72,900",223
17,"APPLE iPhone SE (Black, 64 GB)","₹32,999","9,387"
18,"APPLE iPhone SE (Red, 64 GB)","₹32,999","9,387"
19,"APPLE iPhone XR (Blue, 128 GB)","₹47,999","7,994"
20,"APPLE iPhone 12 Mini (Blue, 128 GB)","₹72,900",223
21,"APPLE iPhone 12 Mini (Green, 128 GB)","₹72,900",223
22,"APPLE iPhone XR ((PRODUCT)RED, 64 GB)","₹42,999","7,994"
23,"APPLE iPhone 12 (Purple, 128 GB)","₹84,900",464
